,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
10,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,96,0.0912,0.798,219947,0.675,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,0.842
11,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,87,0.23,0.554,190067,0.498,5.98e-06,9,0.795,-8.866,1,0.0685,79.635,4,0.413
12,Taylor Swift,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,90,0.0107,0.767,171387,0.681,0.0,2,0.0707,-5.794,1,0.0501,85.003,4,0.726
13,Lil Nas X,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,86,0.139,0.706,158707,0.679,6.98e-05,9,0.465,-5.614,1,0.0324,140.081,4,0.657
14,Ed Sheeran,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,92,0.124,0.64,197867,0.648,0.0,5,0.0802,-8.113,0,0.187,92.977,4,0.548
15,Shawn Mendes,If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,91,0.524,0.692,190800,0.809,0.0,2,0.147,-4.198,1,0.0602,123.911,4,0.864
16,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,85,0.149,0.837,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463
17,Polo G,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,85,0.15,0.772,166560,0.639,0.0,1,0.0698,-7.119,1,0.467,168.112,4,0.261
18,Lil Uzi Vert,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84,0.0948,0.729,243976,0.603,0.0,6,0.113,-6.736,0,0.0666,134.972,4,0.207
19,Marshmello,One Thing Right - feat. Kane Brown,4hPpVbbakQNv8YTHYaOJP4,87,0.0667,0.659,181824,0.623,0.0,4,0.582,-2.253,1,0.0451,88.042,4,0.439
20,The Chainsmokers,Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,89,0.225,0.591,217653,0.702,0.0,7,0.414,-5.59,1,0.0289,104.003,4,0.501
21,Ali Gatie,It's You,6moU77g9RQyMzHNuKEaQKq,88,0.374,0.732,212607,0.463,0.0,11,0.194,-6.972,0,0.0287,95.971,4,0.397
22,Katy Perry,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,90,0.194,0.77,223523,0.882,0.0,8,0.316,-4.792,1,0.0602,99.991,4,0.385
23,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,88,0.978,0.367,196077,0.111,3.97e-05,4,0.0897,-14.084,1,0.0972,82.642,4,0.198
24,YG,Go Loko,3SZqA7rQvROJsCbUu2v0xa,86,0.299,0.88,299227,0.67,5.08e-06,2,0.0677,-5.188,1,0.0429,100.995,4,0.142
25,Khalid,Talk,6TqXcAFInzjp0bODyvrWEq,85,0.051,0.901,197573,0.4,0.0,0,0.0599,-8.575,1,0.126,135.984,4,0.346
26,Ed Sheeran,Antisocial (with Travis Scott),1DhRbox3xkceP64k3JeYfW,86,0.133,0.715,161747,0.823,0.0,5,0.361,-5.313,0,0.0495,151.956,4,0.91
27,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,89,0.592,0.778,178627,0.317,0.0,1,0.0881,-10.732,0,0.334,140.048,4,0.327
28,Chris Brown,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,85,0.123,0.698,260640,0.454,0.0,1,0.155,-6.756,0,0.151,92.932,4,0.137
29,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,90,0.179,0.661,163805,0.723,1.23e-05,5,0.14,-6.976,0,0.0566,113.778,4,0.316
30,Jonas Brothers,Only Human,0DiDStADDVh3SvAsoJAFMk,86,0.108,0.795,183000,0.496,0.0,0,0.0645,-5.883,1,0.0722,94.01,4,0.874
31,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,87,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
32,Mustard,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,83,0.172,0.68,194520,0.559,0.0,0,0.318,-5.545,1,0.129,202.006,4,0.137
33,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,93,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
34,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,88,0.0427,0.842,181040,0.734,0.0,1,0.106,-5.065,0,0.0588,137.958,4,0.952
35,Bazzi,Paradise,7njKgVl3AnLflRad38o7AG,84,0.0828,0.844,169038,0.644,0.0,11,0.113,-6.273,0,0.0479,122.061,4,0.591
36,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,82,0.328,0.685,240051,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578
37,Ashley O,On A Roll,56JyMaElW79S7TDWh1Zw1m,85,0.077,0.737,154448,0.81,0.0,5,0.0523,-6.354,1,0.0896,125.005,4,0.387
38,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,86,0.148,0.857,204467,0.621,0.0,9,0.0865,-6.376,0,0.0824,97.986,4,0.668
39,Blanco Brown,The Git Up,5dW1VZPcFqB4n0P08rGDgm,84,0.0669,0.847,200594,0.678,0.0,9,0.274,-8.635,1,0.109,97.984,4,0.811
40,Billie Eilish,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,87,0.252,0.67,194840,0.453,0.33,0,0.117,-11.265,1,0.295,135.055,4,0.68
41,Lil Nas X,Old Town Road,53CJANUxooaqGOtdsBTh7O,89,0.0361,0.908,113013,0.517,1.73e-06,1,0.0949,-6.063,1,0.129,136.019,4,0.471
42,NAV,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,81,0.0646,0.901,148278,0.676,0.0,2,0.0863,-7.033,1,0.251,85.018,4,0.452
43,Sam Feldt,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,85,0.0771,0.59,174444,0.642,0.0,7,0.105,-3.87,1,0.122,107.356,4,0.651
44,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,85,0.39,0.853,221543,0.351,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,0.282
45,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,88,0.214,0.746,206187,0.787,0.0,4,0.0669,-6.373,1,0.12,95.005,4,0.607
46,NLE Choppa,Shotta Flow,4dAMdQ6g4kGmnc1MDHsg77,80,0.0786,0.888,160013,0.43,1.58e-06,9,0.132,-6.728,1,0.588,120.088,4,0.45
47,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,81,0.189,0.883,174100,0.525,0.0,2,0.0971,-8.054,0,0.0633,99.978,4,0.312
48,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,87,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
49,Offset,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,82,0.228,0.919,205803,0.622,4.24e-06,1,0.122,-7.384,1,0.0997,140.022,4,0.424
50,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,86,0.229,0.717,207320,0.653,0.0,1,0.101,-5.634,1,0.0658,106.966,4,0.412
51,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,85,0.0421,0.726,190440,0.554,0.0,5,0.106,-5.29,0,0.0917,169.999,4,0.335
52,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,87,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
53,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,84,0.181,0.843,160627,0.391,0.0,2,0.137,-7.899,1,0.0845,129.972,4,0.496
54,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),4MsUsFfWseB9M2plGJyuIw,87,0.0291,0.614,193040,0.839,0.0,0,0.112,-4.143,1,0.0702,182.123,4,0.657
55,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,84,0.952,0.421,291796,0.131,0.00453,0,0.109,-18.435,1,0.0382,137.446,4,0.12
56,DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,80,0.0219,0.852,157693,0.73,0.0,1,0.336,-5.803,1,0.0579,92.506,4,0.394
57,5 Seconds of Summer,Easier,4tNXntkAzQ5A2dfYRYGIIQ,86,0.489,0.505,157493,0.428,0.0,5,0.0977,-5.604,1,0.221,175.813,4,0.618
58,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),0AtP8EkGPn6SwxKDaUuXec,83,0.135,0.852,207760,0.666,0.0,11,0.798,-6.923,0,0.184,91.046,4,0.726
59,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,91,0.361,0.795,266087,0.783,0.0,5,0.437,-4.271,1,0.0432,92.016,4,0.8
60,YK Osiris,Worth It,4XiGKQqbmnMVxDzUj6j3f2,80,0.468,0.764,189253,0.528,0.0,5,0.0811,-4.082,0,0.0588,123.936,5,0.422
61,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,79,0.128,0.755,141827,0.772,0.0,6,0.157,-5.585,1,0.4,132.906,4,0.678
62,Miley Cyrus,Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,86,0.00464,0.681,219080,0.865,0.00169,1,0.149,-4.132,0,0.0594,91.017,4,0.528
63,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,79,0.0251,0.894,176632,0.511,0.0,2,0.14,-4.768,1,0.42,120.08,4,0.568
64,YNW Melly,Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,80,0.457,0.661,230400,0.44,0.0,2,0.128,-9.104,1,0.0803,149.937,4,0.352
65,Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,86,0.0154,0.693,228267,0.678,6.05e-06,8,0.101,-7.159,1,0.0324,103.952,4,0.404
66,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,82,0.028,0.629,170440,0.729,0.0,7,0.288,-4.744,1,0.0325,119.996,4,0.304
67,Billie Eilish,you should see me in a crown,3XF5xLJHOQQRbWya6hBp7d,83,0.462,0.678,180953,0.533,0.219,4,0.139,-10.485,1,0.186,150.455,4,0.323
68,Sech,Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,93,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,4,0.62
69,Blake Shelton,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,78,0.0608,0.538,205107,0.752,5.39e-06,10,0.118,-5.106,1,0.0396,139.984,4,0.217
70,Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,79,0.511,0.691,202040,0.64,0.0,0,0.409,-6.441,1,0.369,138.672,4,0.163
71,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,86,0.176,0.599,162583,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534
72,Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,83,0.108,0.657,186223,0.768,0.0,8,0.144,-4.628,1,0.0507,75.025,4,0.759
73,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,83,0.422,0.552,180019,0.65,0.000275,1,0.372,-7.199,1,0.128,167.788,4,0.316
74,Ed Sheeran,Take Me Back to London (feat. Stormzy),1AI7UPw3fgwAFkvAlZWhE0,82,0.219,0.885,189733,0.762,0.0,8,0.162,-5.513,0,0.216,138.059,4,0.605
75,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,91,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
76,BTS,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,87,0.0923,0.645,229773,0.862,0.0,11,0.192,-4.757,0,0.0965,119.991,4,0.798
77,Lizzo,Juice,0k664IuFwVP557Gnx7RhIl,81,0.00611,0.767,195145,0.889,0.0,7,0.402,-2.988,1,0.0963,119.93,4,0.843
78,J Balvin,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,88,0.0275,0.639,222347,0.791,0.0,10,0.362,-4.443,0,0.253,92.603,4,0.939
79,Juice WRLD,Feeling,2Jh3UqxnHJMyzMzku4uOtE,78,0.234,0.712,201920,0.515,0.0,10,0.205,-6.004,0,0.0857,160.0,4,0.563
80,Lil Skies,i,4ZT9FnbFu1PaBfV3itxiqT,79,0.627,0.649,181891,0.453,0.0,6,0.116,-7.28,1,0.085,99.183,4,0.431
81,Joyner Lucas,Isis,36TO60sxDduIsO3xH8IcUh,81,0.234,0.918,236000,0.837,0.0,1,0.227,-6.792,1,0.255,120.017,4,0.855
82,Marshmello,Here With Me,5icOoE6VgqFKohjWWNp0Ac,86,0.0623,0.791,156347,0.565,0.0,5,0.156,-3.933,0,0.0439,99.961,4,0.181
83,Lil Baby,Out The Mud,2wZjsbwmWfNVslgV5afl1L,78,0.00944,0.746,157816,0.497,8.6e-05,1,0.101,-5.785,1,0.149,160.051,4,0.25
84,Halsey,Nightmare,340UVheS8z3ncW9TTUhAbc,82,0.0188,0.611,231999,0.622,0.0,9,0.359,-5.075,0,0.0734,146.11,4,0.538
85,OneRepublic,Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,87,0.156,0.759,158900,0.605,0.0,7,0.694,-7.737,1,0.0433,121.049,4,0.64
86,Ed Sheeran,Put It All on Me (feat. Ella Mai),5T03itPFOPGGkvVPvPiyla,78,0.253,0.627,197093,0.594,0.0,7,0.373,-8.306,1,0.0478,101.008,4,0.389
87,Mark Ronson,Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,85,0.00548,0.605,176417,0.664,3e-06,8,0.204,-7.162,1,0.0316,103.997,4,0.164
88,Ed Sheeran,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),4vIKzWqtn44umal5jXq4wE,78,0.467,0.778,212307,0.59,0.0,8,0.0902,-5.548,1,0.27,97.995,4,0.515
89,MAX,Love Me Less (feat. Quinn XCII),2tOOcDDYkh0PSjr6GwPEAJ,80,0.0828,0.732,177670,0.856,0.0,11,0.323,-2.2,0,0.0929,145.034,4,0.771
90,Chance the Rapper,GRoCERIES,0yFvWTLs3iIwDbc91noXGT,78,0.0578,0.906,226846,0.596,0.0,0,0.109,-5.88,0,0.243,144.038,4,0.701
91,Lil Uzi Vert,That's A Rack,4pCEIQ6wBVuaJdER5bALtO,78,0.0599,0.852,236571,0.432,0.0,1,0.146,-8.04,0,0.501,140.042,4,0.258
92,Billie Eilish,my strange addiction,3Tc57t9l2O8FwQZtQOvPXK,82,0.35,0.939,179889,0.305,0.000169,8,0.105,-10.952,0,0.354,100.029,4,0.563
93,Ed Sheeran,Feels (feat. Young Thug & J Hus),1Bdptrvb7nQkq8kCw3siE9,79,0.112,0.665,150787,0.68,0.0,2,0.096,-4.899,1,0.29,91.67,4,0.69
94,Ed Sheeran,I Don't Want Your Money (feat. H.E.R.),3FHXUqaUer9o231Je1zxIN,78,0.314,0.469,204507,0.631,0.0,8,0.14,-6.569,0,0.0853,91.418,4,0.763
95,Ed Sheeran,Best Part of Me (feat. YEBBA),0VsGaRXR5WAzpu51unJTis,79,0.762,0.565,243267,0.242,9.3e-06,2,0.285,-8.367,1,0.0318,81.657,4,0.237
96,Ed Sheeran,Nothing On You (feat. Paulo Londra & Dave),2qRN7PWiHRLprw4FpDeI9N,80,0.333,0.747,200733,0.649,0.0,10,0.172,-6.218,0,0.219,88.011,4,0.84
97,Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,77,0.000677,0.899,126446,0.811,0.0,2,0.0672,-6.294,1,0.258,105.038,4,0.587
98,Ed Sheeran,Way To Break My Heart (feat. Skrillex),5d1rmWWF1725tnYjq6rMDB,77,0.11,0.726,190293,0.731,3.21e-06,1,0.0928,-6.304,0,0.159,170.125,4,0.43
99,Nicki Minaj,MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,81,0.128,0.893,190747,0.641,8.06e-05,1,0.086,-3.051,1,0.272,94.017,4,0.771
100,Avicii,Heaven,0vrmHPfoBadXVr2n0m1aqZ,86,0.0715,0.592,277262,0.873,0.00982,9,0.142,-5.65,1,0.0275,122.011,4,0.516
101,Cardi B,Press,6dPyzkyZwoj9LqjQXOFdVv,79,0.029,0.888,143792,0.525,5.68e-06,1,0.137,-5.665,1,0.305,133.983,4,0.243
102,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,88,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
103,Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),7hvO2qCwJVZxiyoA7c9i5d,76,0.000245,0.631,209120,0.796,0.0115,1,0.38,-5.35,1,0.0401,92.469,4,0.596
104,Thomas Rhett,Look What God Gave Her,2KqJC0koTBUyDlsMt5ok1V,76,0.0272,0.739,168960,0.85,0.0,2,0.181,-3.966,1,0.0308,113.0,4,0.883
105,Florida Georgia Line,Talk You Out Of It,4qQwGRtGT7l6ckQtdPEFd4,76,0.582,0.651,202920,0.708,0.0,4,0.0796,-4.791,1,0.0376,119.964,4,0.558
106,Billie Eilish,xanny,4QIo4oxwzzafcBWkKjDpXY,81,0.751,0.521,243725,0.125,0.00207,9,0.265,-17.832,1,0.239,111.554,4,0.0528
107,Bazzi,Focus (feat. 21 Savage),12iDo4Kdw9vA2X1lN3UTVu,80,0.00694,0.752,155134,0.703,0.0,1,0.143,-5.268,1,0.0969,77.021,4,0.538
108,Dreamville,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",36J0iaPDGbYGsHvYpaYs3k,77,0.0392,0.761,169147,0.586,0.0,0,0.0558,-5.368,1,0.359,149.804,4,0.719
109,Chris Brown,Don't Check On Me (feat. Justin Bieber & Ink),3msKIQc0Yjuz3Zn39g3KLX,82,0.873,0.66,204880,0.395,0.0,7,0.112,-5.242,1,0.0333,81.997,4,0.678
110,Logic,Homicide,0Lw6aQcBFWTQ9m4MSwwwes,80,0.145,0.722,245413,0.764,0.0,10,0.171,-5.656,0,0.398,139.831,4,0.796
111,Dreamville,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,77,0.517,0.642,217867,0.647,0.0,7,0.0649,-6.312,0,0.428,120.749,4,0.664
112,Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,76,0.0218,0.921,192540,0.635,0.0,1,0.0946,-4.904,1,0.416,130.028,4,0.549
113,Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,81,0.283,0.726,168840,0.444,0.143,8,0.177,-8.922,0,0.372,185.044,4,0.569
114,Lil Nas X,C7osure (You Like),4no0eHn4fEB7tN1yZSXMma,78,0.397,0.847,148653,0.742,0.0,8,0.135,-5.515,0,0.247,133.989,4,0.56
115,Luke Bryan,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,76,0.129,0.739,199382,0.682,0.0,2,0.328,-3.728,1,0.205,131.983,4,0.634
116,Blueface,Daddy (feat. Rich The Kid),6XkLPzkKzPhpr3hrvl1TUq,78,0.0673,0.864,151547,0.598,0.0,11,0.154,-8.076,1,0.238,107.93,4,0.464
117,ScHoolboy Q,Floating (feat. 21 Savage),4NN6N5TxBO5k9uqu0W4gfQ,77,0.181,0.906,186827,0.545,0.0,11,0.091,-4.977,0,0.344,139.932,4,0.543
118,Nicky Jam,Te Robaré,6v0lAdFF4haL8xjBIUjtOw,88,0.241,0.673,201818,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,4,0.797
119,J Balvin,Bonita,0OqxJsqBMIJqQJN7gbl447,0,0.0132,0.775,265747,0.867,0.00684,5,0.278,-1.582,0,0.0414,96.038,4,0.869
120,J Balvin,Mi Gente,5vFr1sfM8nmCBXEPVT22yf,0,0.0179,0.774,189440,0.687,1.17e-05,11,0.128,-4.818,0,0.0584,104.959,4,0.308
121,Ambjaay,Uno,3AEgic4yp82NxMWUjHtxnO,77,0.000143,0.978,109091,0.477,0.0,8,0.133,-8.159,1,0.155,110.002,4,0.196
122,Khalid,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,79,0.0174,0.729,177067,0.545,0.000274,0,0.369,-7.818,1,0.0316,103.012,4,0.514
123,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,82,0.153,0.477,202205,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.567,5,0.345
124,Future,100 Shooters (feat. Meek Mill & Doe Boy),2j7mcsEz4n5XxMMqqjjB6p,73,0.0104,0.645,209120,0.675,0.0,1,0.273,-5.282,0,0.202,120.672,5,0.171
125,R3HAB,All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,78,0.479,0.733,147840,0.859,0.0645,9,0.105,-5.03,0,0.033,124.948,4,0.52
126,Kehlani,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,78,0.367,0.61,201788,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,0.291
127,Maren Morris,The Bones,3npzogdOEiVsieXmmhBepL,77,0.279,0.612,197293,0.57,0.0,11,0.0963,-6.642,0,0.0347,77.004,4,0.335
128,DJ Khaled,Wish Wish (feat. Cardi B & 21 Savage),1Hd2XLitkt1PYCWSbfF5qV,77,0.00218,0.861,202625,0.666,0.0,8,0.272,-5.18,0,0.343,145.041,4,0.853
129,Dreamville,Sunset (with J. Cole feat. Young Nudy),3pZO6GoVPeSYDxxsH6vCdj,75,0.187,0.924,178373,0.385,0.0,1,0.132,-7.049,1,0.185,129.976,4,0.39
130,Avicii,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,87,0.272,0.802,157202,0.645,0.0,5,0.119,-6.181,0,0.0715,100.001,4,0.376
131,Nipsey Hussle,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),6ya8ejoKgw906Y8LWclqrp,76,0.0825,0.671,233278,0.833,0.0,5,0.0726,-5.152,0,0.395,79.351,4,0.702
132,Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,80,0.0642,0.747,200890,0.57,0.0,1,0.0832,-6.711,1,0.081,133.992,4,0.65
133,The Chainsmokers,Who Do You Love (with 5 Seconds of Summer),0u76qSAbFZPbOsBq5lIixm,82,0.00791,0.51,226747,0.835,0.0,3,0.219,-4.673,1,0.0447,140.024,4,0.435
134,Rich The Kid,Splashin,3KLo7ByvjCNyBrfz5DZ2mO,76,0.00192,0.942,177864,0.382,0.0,10,0.092,-8.099,1,0.564,100.017,4,0.379
135,Billie Eilish,listen before i go,0tMSssfxAL2oV8Vri0mFHE,79,0.935,0.319,242652,0.0561,0.00384,0,0.388,-23.023,1,0.045,79.764,3,0.082
136,DJ Luian,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,87,0.391,0.857,267500,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553
137,iann dior,gone girl,6G0FACzGN80Dj2v4ass5rq,77,0.162,0.677,136568,0.714,0.0,11,0.0717,-5.637,1,0.0287,94.956,4,0.355
138,XXXTENTACION,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",0OTBOHjEaoqroFlfut1ZsH,72,0.0243,0.919,203570,0.538,0.0415,1,0.0956,-6.15,1,0.241,124.952,4,0.597
139,NF,When I Grow Up,0hWzB4dR1zwcokPvccww0k,78,0.32,0.817,196800,0.814,0.0,2,0.152,-3.985,1,0.185,109.994,4,0.247
140,NF,Time,68Vm2W4oURsPV3121vUZgB,77,0.128,0.665,230611,0.703,0.0,8,0.115,-3.885,1,0.07,97.968,4,0.257
141,Luh Kel,Wrong,3EludUFeAoJAwSixWGG5Wg,78,0.352,0.745,130876,0.728,0.0,0,0.228,-3.39,1,0.0423,120.099,4,0.39
142,Russ,Civil War,5tmu5pAFHkUSl8Fo8ncyA4,79,0.116,0.913,143880,0.608,0.0,7,0.109,-6.764,1,0.259,101.002,4,0.496
143,Trippie Redd,Under Enemy Arms,1NF9EkR5OpMaoVWbsllcm9,75,0.223,0.751,162462,0.776,0.0,9,0.0507,-5.266,0,0.0357,129.987,4,0.603
144,DJ Khaled,Just Us (feat. SZA),0BnTBAGmr9FtYwkZrwKhwS,78,0.135,0.639,221379,0.859,0.0,9,0.129,-2.758,0,0.147,93.132,4,0.566
145,"Tyler, The Creator",I THINK,4f8Mh5wuWHOsfXtzjrJB3t,77,0.00881,0.826,212013,0.579,0.0,8,0.129,-8.241,0,0.0801,121.075,4,0.431
146,Mabel,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,85,0.667,0.622,169813,0.796,0.0,0,0.106,-2.999,0,0.172,197.705,4,0.62
147,Billie Eilish,ilomilo,7qEKqBCD2vE5vIBsrUitpD,79,0.724,0.855,156371,0.423,0.469,5,0.0896,-15.044,0,0.0585,120.02,4,0.572
148,Beyoncé,MOOD 4 EVA,7oqftogUN82Q7VNy2TmTJW,76,0.119,0.608,272069,0.709,0.0,7,0.337,-6.175,1,0.374,105.742,4,0.709
